"","path","file","name","Nom scientifique / Autorité","latin.name"
"219","7 bergeronnette grise - fauvette a` te^te noire/14 gorgebleue a` miroir.mp3","14 gorgebleue a` miroir.mp3","gorgebleue a` miroir","Luscinia svecica (Linnaeus, 1758)","Luscinia svecica"
"220","5 sterne naine - martinet des maisons/32 grand-duc d'Europe.mp3","32 grand-duc d'Europe.mp3","grand-duc d'europe","Bubo bubo (Linnaeus, 1758)","Bubo bubo"
"221","9 me´sange charbonnie`re - e´tourneau roselin/39 grand corbeau.mp3","39 grand corbeau.mp3","grand corbeau","Corvus corax Linnaeus, 1758","Corvus corax"
"222","1 plongeon catmarin - tadorne casarca/19 grand cormoran.mp3","19 grand cormoran.mp3","grand cormoran","Phalacrocorax carbo (Linnaeus, 1758)","Phalacrocorax carbo"
"223","4 petit gravelot - goe´land a` ailes blanches/02 grand gravelot.mp3","02 grand gravelot.mp3","grand gravelot","Charadrius hiaticula Linnaeus, 1758","Charadrius hiaticula"
"224","4 petit gravelot - goe´land a` ailes blanches/37 grand labbe.mp3","37 grand labbe.mp3","grand labbe","Stercorarius skua (Brünnich, 1764)","Stercorarius skua"
"225","3 faucon cre´cerelle - glare´ole a` collier/13 grand te´tras.mp3","13 grand te´tras.mp3","grand te´tras","Tetrao urogallus Linnaeus, 1758","Tetrao urogallus"
"226","1 plongeon catmarin - tadorne casarca/28 grande aigrette.mp3","28 grande aigrette.mp3","grande aigrette","Ardea alba Linnaeus, 1758","Ardea alba"
"227","3 faucon cre´cerelle - glare´ole a` collier/40 grande outarde.mp3","40 grande outarde.mp3","grande outarde",NA,"otis tarda"
"228","4 petit gravelot - goe´land a` ailes blanches/03 gravelot a` collier interrompu.mp3","03 gravelot a` collier interrompu.mp3","gravelot a` collier interrompu","Charadrius alexandrinus Linnaeus, 1758","Charadrius alexandrinus"
"229","1 plongeon catmarin - tadorne casarca/06 gre`be a` cou noir.mp3","06 gre`be a` cou noir.mp3","gre`be a` cou noir","Podiceps nigricollis Brehm, CL, 1831","Podiceps nigricollis"
"230","1 plongeon catmarin - tadorne casarca/07 gre`be castagneux.mp3","07 gre`be castagneux.mp3","gre`be castagneux","Tachybaptus ruficollis (Pallas, 1764)","Tachybaptus ruficollis"
"231","1 plongeon catmarin - tadorne casarca/05 gre`be esclavon.mp3","05 gre`be esclavon.mp3","gre`be esclavon","Podiceps auritus (Linnaeus, 1758)","Podiceps auritus"
