duration_song,centroid_f,Ht_temporal_entropy,LFC_spectral_cover,MFC_spectral_cover,HFC_spectral_cover,Hf_spectral_entropy,number_of_freq_peaks,Hf_Havrda_spectral_entropy,Hf_Renyi_spectral_entropy,Hf_pairedShannon_spectral_entropy,Hf_gamma_spectral_entropy,Hf_GiniSimpson_spectral_entropy,peak_freq,peak_freq_amp_by_mean_amp,peak_f_roi,centroid_f_roi,num_syllables_per_unit_time,syllable_duration_mean,syllable_duration_std,mean_gap_duration,gap_duration_std,sound_per_silence_ratio,sound_per_vocalization_ratio,drumming,birdlife_sci_name,short_or_continuous_song
2.25,3929.8096,0.866,0.3372,0.3364,0.3266,0.5984,22,0.3329,3.3035,4.7168,1914.1845,0.9685,4015.6426,1.23,4015.376,3951.3428,9.5417,0.0465,0.0153,0.0564,0.0236,0.837,0.4388,no,Curruca undata,short
1.5,4360.4736,0.7913,0.3739,0.3228,0.336,0.5263,25.75,0.3309,2.7006,4.2506,1168.9794,0.9378,4407.2236,2.1308,4405.4736,4371.2402,12.25,0.0398,0.0148,0.0532,0.0293,0.6798,0.4842,no,Curruca melanocephala,long
2.2,4203.2812,0.8657,0.337,0.3432,0.3303,0.6187,26.8,0.333,3.4401,4.8458,1998.6034,0.9727,3803.8039,1.7464,4136.7086,4229.1211,8.6,0.0534,0.0184,0.0664,0.0247,0.8226,0.4504,no,Curruca conspicillata,""
8.6667,7249.5117,0.7115,0.3142,0.2567,0.2597,0.6927,33,0.3331,3.7068,5.3105,6389.3685,0.9787,7020.7578,0.7739,7018.7578,7278.2227,5.4048,0.0508,0.0196,0.154,0.1017,0.442,0.2759,no,Muscicapa striata,short
4,3886.7432,0.7085,0.3973,0.3171,0.359,0.567,27,0.3318,2.8222,4.5116,1718.787,0.9508,3518.6123,2.3008,3518.3623,3875.9766,5.25,0.0529,0.0194,0.1442,0.0878,0.4006,0.2772,no,Ficedula albicollis,""
7.75,4026.709,0.796,0.4182,0.3084,0.344,0.553,25,0.3315,2.9115,4.4216,2013.0381,0.9461,4021.3926,2.8762,4026.8926,4080.542,7.0491,0.0545,0.0213,0.0985,0.0521,0.5732,0.3744,no,Luscinia svecica,""
0.4483,1651.3739,0.7891,0.3135,0.2493,0.2976,0.4849,34,0.3268,2.4144,3.9734,1626.5554,0.9044,1327.9808,3.2562,1369.6311,1649.8889,2.3793,0.0824,0.0246,0.1156,0.0329,0.1906,0.1731,no,Corvus corax,short
3,5928.8086,0.8332,0.3474,0.2828,0.2869,0.6148,28.6667,0.3325,3.0754,4.8167,3001.9969,0.9635,6411.8281,2.6967,6410.1615,5928.8086,7.2222,0.0549,0.0193,0.0681,0.0317,0.8471,0.396,no,Certhia familiaris,short
3.2,3591.7383,0.7603,0.3939,0.3564,0.3532,0.6945,29,0.3332,3.9285,5.3239,4493.7292,0.9832,3929.7766,0.4011,3981.8961,3617.5781,6.7467,0.0546,0.0154,0.1,0.0633,0.5574,0.3676,no,Turdus pilaris,short
9,4715.7715,0.7466,0.377,0.2678,0.3087,0.6289,31,0.3329,3.3533,4.9086,3671.5384,0.971,5036.7031,1.1375,5037.7031,4715.7715,6.4935,0.053,0.0284,0.1077,0.0734,0.5103,0.343,no,Turdus iliacus,""
1.8462,2941.7668,0.7777,0.4175,0.2827,0.3558,0.4895,24.2308,0.3306,2.6082,4.0165,1114.0473,0.9282,3025.3717,4.7594,3092.7815,2955.018,5.9423,0.065,0.0165,0.1647,0.0785,0.395,0.3478,no,Turdus philomelos,long
0,5245.4883,0.5343,0.3329,0.2492,0.3313,0.3069,33.4,0.3149,1.4814,2.8004,391.576,0.7929,5218.3688,19.8963,5219.1688,5254.1016,2.4,0.0555,0.013,0.1296,0.0134,0.1323,0.1323,no,Coccothraustes coccothraustes,short
3.375,1970.2881,0.7582,0.3647,0.2809,0.3327,0.4356,26.375,0.33,2.3282,3.6727,409.9828,0.9141,1943.3135,4.7014,1942.9219,1997.2046,5.3229,0.056,0.0126,0.1084,0.039,0.3972,0.297,no,Merops apiaster,short
7,4249.2188,0.8471,0.3849,0.3642,0.3772,0.6597,14.6667,0.3332,3.7263,5.1051,2942.0877,0.9795,4209.086,0.5616,4267.8412,4263.5742,7,0.0492,0.0166,0.0881,0.0527,0.5743,0.3442,no,Hirundo rustica,short
9,3940.5761,0.808,0.3675,0.3491,0.3574,0.6602,17.5,0.3332,3.886,5.1086,2947.1114,0.9806,4030.6426,0.425,4029.6426,3962.1094,7.8,0.0499,0.0125,0.0769,0.0413,0.6606,0.3893,no,Delichon urbicum,short
5.6667,4364.0625,0.85,0.3602,0.3237,0.3476,0.6605,17,0.3332,3.8089,5.1102,3016.9945,0.9803,4418.0846,0.6449,4393.707,4364.0625,7,0.0589,0.0242,0.0863,0.0503,0.7459,0.406,no,Riparia riparia,short
0.3043,3613.8332,0.7916,0.2728,0.2163,0.2734,0.5658,33.1304,0.3318,2.9561,4.5049,2259.1988,0.9527,3444.1591,0.8542,3572.2605,3678.2626,1.9565,0.0599,0.0135,0.0946,0.0248,0.1373,0.1107,no,Ptyonoprogne rupestris,short
1.75,3552.9785,0.8226,0.3276,0.3379,0.3578,0.5796,27.75,0.3313,2.8881,4.5897,2110.7036,0.9502,3681.6279,4.0959,3676.3613,3563.7451,8,0.0582,0.0255,0.0939,0.052,0.5856,0.4606,no,Cecropis daurica,""
0.8571,572.168,0.7655,0.3271,0.3751,0.391,0.1374,2.2857,0.2456,0.6716,1.5503,37.2619,0.5142,577.673,31.853,578.673,578.3203,2.8571,0.0647,0.0016,0.1525,0.0074,0.1843,0.1843,no,Upupa epops,short
